denominationUniteLegale,siren,trancheEffectifsUniteLegale
HERNAS CARTONNAGE,005520176,21
L'OISEAU BLEU,005620190,21
PROMENS MONTOIR DE BRETAGNE SAS,005680145,21
SA SAINTE-ISABELLE,005720164,22
ETABLISSEMENTS DECAYEUX,005720784,32
SOCIETE IMMOBILIERE TOURISTIQUE ET HOTELIERE DE LA BAULE EN ABREGE SITH LA BAULE,005780960,32
ENTREPRISE DEMOUSELLE,005820378,31
ETABLISSEMENTS RAOUL DAVERGNE,005820477,21
LABORATOIRE NUTERGIA,006380042,32
HORIZON AUTOMOBILES,006380315,21
TRANSPORTS MORAND FRIGORIFIQUES,006480065,21
SOCIETE INDUSTRIELLE POUR LE DEVELOPPEMENT DE LA SECURITE,006580195,31
HABITATIONS DE HAUTE-PROVENCE,006650089,21
LE PALAIS DE L AUTOMOBILE ABBEVILLE,006720064,22
SOCIETE FRANCAISE OUTILS PROFESSIONNELS,006780514,31
CENTRE DES CARMES,007050040,22
SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'OUEST,007080021,41
LOUIS HEMERY,007080054,21
CNI,007080757,21
CENTRE AUTOMOBILE DE L'ETOILE,007180532,22
ATLAGEL,007280365,22
CAP DIS,007280373,21
ENTREPRISE MINETTO,007350200,21
KEOLIS BOURGOGNE,015450596,22
SOCIETE ANONYME D'HABITATIONS A LOYER MODERE HABELLIS,015450638,22
EIFFAGE CONSTRUCTION BOURGOGNE FRANCHE COMTE,015451412,22
GADEST,015550882,32
SOBEM SCAME,015551278,21
ETABLISSEMENTS VERNEY,015651219,21
PAIN D'EPICES MULOT ET PETITJEAN,015751530,21
SOC HOTELIERE LA COTE D OR,015753049,21
ETABLISSEMENTS GABRIEL BOUDIER,015753981,21
DORAS,015851793,41
GUEUDET AUTO SEINE MARITIME,015980048,22
BERNARD LOISEAU SA,016050023,21
SAS ARANDES,016150815,21
APRR,016250029,51
GROUPE CANDY HOOVER,016250102,21
SOC PRODUCTION PHARMACEUTIQUE HYGIENE,016650590,32
CYCLES LAPIERRE,016650996,21
ETABLISSEMENTS G. BOUTILLON,016750556,22
ETS J VIRLY S A,016750697,31
SUNDYNE INTERNATIONAL SA,016850992,31
COMPTOIR DU FREIN SOC,016950651,21
SEB DEVELOPPEMENT,016950842,41
SOCIETE METALLURGIQUE DE FONTAINE FRANCAISE,016950958,32
POCHET DU COURVAL,016980062,42
TYCO ELECTRONICS SIMEL,017050410,32
S.N.C.T.P,017050667,32
PENNEQUIN,017051186,21
EUROPEENNE DE CONDIMENTS,017150038,22
PAPETERIES DE DIJON,017150285,32
CLINIQUE LES ROSIERS,017150533,22
EXPERTISE ET TECHNIQUE COMPTABLES,017151200,32
VALEO COMFORT AND DRIVING ASSISTANCE,017251067,41
AUDIT GESTION CONSEIL,017351370,21
TRANSPORTS G R G,017351495,31
BOURBON DISTRIBUTION MAYOTTE,024049124,32
SODISCOUNT,024079691,22
BARRAULT,025480401,22
LAITERIE NOUVELLE DE L'ARGUENON,025550120,41
ANETT ET CIE,025580408,21
CARRIERES DE BRANDEFERT,025650037,21
EQUIPEMENT TECHN INDUS ALIME ET CONNEXES,025680471,22
ETABLISSEMENTS HOUEE,025750084,21
SAINT CHRISTOPHE AUTOMOBILES,025780230,22
CARRIERES KLEBER MOREAU,025780321,22
CENTRAL GARAGE,025780396,21
CARCED,025780800,22
CILIOPEE HABITAT SOCIETE ANONYME D'HABITATIONS A LOYER MODERE,025820044,21
STE FROMAFRUIT,025820143,21
SARL COSSET ET FILS,025880485,21
PIERRE GUERIN SAS,025980186,32
ETABLISSEMENTS CUNY SAS,026120063,21
BELLOT MINOTERIE,026170258,21
SOCIETE AGENAISE DE TRANSPORTS ET D'AFFRETEMENTS ROUTIERS,026320093,22
ETABLISSEMENTS PIERRE RAULT ET COMPAGNIE,026450056,21
CNR CONSTRUCTION,026950055,22
OUEST VENDEE BALAIS,027080225,22
CENTRAVET,027250026,32
DINAN DISTRIBUTION CENTRE LECLERC,027250323,31
BONNET FRERES,027380591,21
SMURFIT KAPPA PARNALLAND,035480052,21
HOTEL DU CAP EDEN ROC,035520022,21
SA DE L'EDEN BEACH CASINO,035620707,21
AMPHENOL SOCAPEX,035650167,32
FRANC COMTOISE DE CONFORT,035850544,21
MONTSINERY,036220150,21
SETP,036380061,21
SA IMPRIMERIE GEORGES PARIS,036480028,21
RECORD FRANCE,036520153,21
B.R ESTENE,036620219,21
CLAVIERE SOC,036850139,22
CASINO ANTIBES LA SIESTA,036920205,22
SOC MARINELAND,036920924,22
COMPAGNIE GENERALE CAGNOISE AUTOMOBILE,037020633,21
LOOMIS LOGISTIQUE DE VALEURS AZUR,037020757,21
TENTE ROULETTES POLYMERES - BRUANDET,037050242,21
RENE PIERRE,037050275,21
COMPAGNIE DU MIDI,037320595,21
AUTOCARS DOUAISIENS,045550068,21
SIA HABITAT,045550258,41
BOUCHONNERIE CAPSULERIE USINES J REMY,045650538,22
SOC DE GESTION DU CASINO D'AJACCIO,045720257,21
LEROUX,045750817,22
SADTEM,045750858,21
PROMERAC,045751286,21
NOREVIE,045950318,22
RAFFALLI TRAVAUX PUBLICS,046420212,21
OLLANDINI LOCATION VOITURES ET CAMIONS,046620266,21
VIBEL,046820031,21
SITRA FRANCE,046850145,21
SOCIETE ARLA ET COMPAGNIE,046880035,21
AUTOCARS LOLLI,046950259,21
VOYAGES DUPAS ET LEBEDA,047050174,22
JEAN FORCONI SA,047120019,22
GIFFARD ET COMPAGNIE,054200217,21
DUSOLIER-CALBERSON,054200415,41
MAYOTTE AVIATION,054388665,21
TOTALENERGIES MARKETING MAYOTTE,054389002,21
SOCIETE MAHORAISE DES EAUX,054392014,22
MAYROTT,054392774,21
TRANSFRIGO,054395868,21
RICHARDSON,054800958,42
CORDERIE DOR,054803622,21
VCF PROVENCE,054803648,21
SOCIETE DE GESTION IMMOBILIERE DE LA VILLE DE MARSEILLE,054803770,22
COMPAGNIE IMMOBILIERE PERRISSEL ET ASSOCIES,054804166,21
SOCIETE ANONYME SAINT ROCH,054805577,22
SOCIETE MARSEILLAISE DE CREDIT,054806542,42
EDITIONS QUO VADIS,054807748,31
LARIVIERE,055200984,41
PARTEDIS BOIS MATERIAUX,055201123,32
TISSAGES DENANTES,055500979,21
POMA,055501902,32
TRANSPORTS FOUVET MERCIER,055501977,22
MULTIBASE,055502868,21
BOLLORE SE,055804124,41
CLINIQUE JUGE,055807838,22
FIVES PILLARD,055809255,22
